Country                 ,Population,Density,Land Area,Median Age,Urban %
Gambia                  ,2416668   ,239    ,10120    ,18        ,59
Botswana                ,2351627   ,4      ,566730   ,24        ,73
Gabon                   ,2225734   ,9      ,257670   ,23        ,87
Lesotho                 ,2142249   ,71     ,30360    ,24        ,31
North Macedonia         ,2083374   ,83     ,25220    ,39        ,59
Slovenia                ,2078938   ,103    ,20140    ,45        ,55
Guinea-Bissau           ,1968001   ,70     ,28120    ,19        ,45
Latvia                  ,1886198   ,30     ,62200    ,44        ,69
Bahrain                 ,1701575   ,2239   ,760      ,32        ,89
Equatorial Guinea       ,1402985   ,50     ,28050    ,22        ,73
Trinidad and Tobago     ,1399488   ,273    ,5130     ,36        ,52
Estonia                 ,1326535   ,31     ,42390    ,42        ,68
Timor-Leste             ,1318445   ,89     ,14870    ,21        ,33
Mauritius               ,1271768   ,626    ,2030     ,37        ,41
Cyprus                  ,1207359   ,131    ,9240     ,37        ,67
Eswatini                ,1160164   ,67     ,17200    ,21        ,30
Djibouti                ,988000    ,43     ,23180    ,27        ,79
Fiji                    ,896445    ,49     ,18270    ,28        ,59
Réunion                 ,895312    ,358    ,2500     ,36        ,100
Comoros                 ,869601    ,467    ,1861     ,20        ,29
Guyana                  ,786552    ,4      ,196850   ,27        ,27
Bhutan                  ,771608    ,20     ,38117    ,28        ,46
Solomon Islands         ,686884    ,25     ,27990    ,20        ,23
Macao                   ,649335    ,21645  ,30       ,39        ,-1
Montenegro              ,628066    ,47     ,13450    ,39        ,68
Luxembourg              ,625978    ,242    ,2590     ,40        ,88
Western Sahara          ,597339    ,2      ,266000   ,28        ,87
Suriname                ,586632    ,4      ,156000   ,29        ,65
Cabo Verde              ,555987    ,138    ,4030     ,28        ,68
Maldives                ,540544    ,1802   ,300      ,30        ,35
Malta                   ,441543    ,1380   ,320      ,43        ,93
Brunei                  ,437479    ,83     ,5270     ,32        ,80
Guadeloupe              ,400124    ,237    ,1690     ,44        ,-1
Belize                  ,397628    ,17     ,22810    ,25        ,46
Bahamas                 ,393244    ,39     ,10010    ,32        ,86
Martinique              ,375265    ,354    ,1060     ,47        ,92
Iceland                 ,341243    ,3      ,100250   ,37        ,94
Vanuatu                 ,307145    ,25     ,12190    ,21        ,24
French Guiana           ,298682    ,4      ,82200    ,25        ,87
Barbados                ,287375    ,668    ,430      ,40        ,31
New Caledonia           ,285498    ,16     ,18280    ,34        ,72
French Polynesia        ,280908    ,77     ,3660     ,34        ,64
Mayotte                 ,272815    ,728    ,375      ,20        ,46
Sao Tome & Principe     ,219159    ,228    ,960      ,19        ,74
Samoa                   ,198414    ,70     ,2830     ,22        ,18
Saint Lucia             ,183627    ,301    ,610      ,34        ,19
Channel Islands         ,173863    ,915    ,190      ,43        ,30
Guam                    ,168775    ,313    ,540      ,31        ,95
Curaçao                 ,164093    ,370    ,444      ,42        ,89
Kiribati                ,119449    ,147    ,810      ,23        ,57
Micronesia              ,115023    ,164    ,700      ,24        ,21
Grenada                 ,112523    ,331    ,340      ,32        ,35
St. Vincent & Grenadines,110940    ,284    ,390      ,33        ,53
Aruba                   ,106766    ,593    ,180      ,41        ,44
Tonga                   ,105695    ,147    ,720      ,22        ,24
U.S. Virgin Islands     ,104425    ,298    ,350      ,43        ,96
Seychelles              ,98347     ,214    ,460      ,34        ,56
Antigua and Barbuda     ,97929     ,223    ,440      ,34        ,26
Isle of Man             ,85033     ,149    ,570      ,-1        ,53
Andorra                 ,77265     ,164    ,470      ,-1        ,88
Dominica                ,71986     ,96     ,750      ,-1        ,74
Cayman Islands          ,65722     ,274    ,240      ,-1        ,97
Bermuda                 ,62278     ,1246   ,50       ,-1        ,97
Marshall Islands        ,59190     ,329    ,180      ,-1        ,70
Northern Mariana Islands,57559     ,125    ,460      ,-1        ,88
Greenland               ,56770     ,0      ,410450   ,-1        ,87
American Samoa          ,55191     ,276    ,200      ,-1        ,88
Saint Kitts & Nevis     ,53199     ,205    ,260      ,-1        ,33
Faeroe Islands          ,48863     ,35     ,1396     ,-1        ,43
Sint Maarten            ,42876     ,1261   ,34       ,-1        ,96
